x,y,y_pred
-1.262874499999999900e+00,9.194316999999999629e-01,8.816147104609040053e-01
-1.262791999999999915e+00,2.234989000000000003e-01,8.815574863562849472e-01
-1.261796799999999941e+00,7.371790000000000287e-01,8.808671902482038130e-01
-1.260169099999999931e+00,3.857052999999999732e-01,8.797381760047111587e-01
-1.253327000000000080e+00,6.958661999999999903e-01,8.749923208991011725e-01
-1.248905900000000013e+00,3.355969999999999787e-01,8.719257331544886247e-01
-1.245135199999999998e+00,3.501445000000000252e-01,8.693102794419261814e-01
-1.243967400000000056e+00,3.171332000000000040e-01,8.685002635707271823e-01
-1.242037700000000022e+00,1.275875999999999955e-01,8.671617744230538660e-01
-1.241725600000000096e+00,2.528166999999999831e+00,8.669452939012167736e-01
-1.240018999999999982e+00,5.285817999999999905e-01,8.657615526049430299e-01
-1.229663100000000009e+00,3.827135999999999871e-01,8.585784361804263964e-01
-1.229357999999999951e+00,3.248559999999999781e-01,8.583668110371630577e-01
-1.225293399999999977e+00,2.455539400000000150e+00,8.555475007870552151e-01
-1.224764399999999975e+00,7.816843999999999459e-01,8.551805728919839034e-01
-1.224756900000000037e+00,4.844343999999999872e-01,8.551753707006548577e-01
-1.223714699999999933e+00,4.036383000000000054e-01,8.544524741935785039e-01
-1.222438600000000042e+00,2.457455000000000056e-01,8.535673386795888939e-01
-1.220943499999999959e+00,5.180727000000000526e-01,8.525302991787927498e-01
-1.220106399999999924e+00,3.578013999999999917e-01,8.519496652639265699e-01
-1.220106399999999924e+00,2.586763000000000257e-01,8.519496652639265699e-01
-1.219434300000000082e+00,3.098180999999999852e-01,8.514834795582981730e-01
-1.215832199999999919e+00,6.882127999999999579e-01,8.489849711068111482e-01
-1.214301099999999911e+00,3.850047999999999804e-01,8.479229610876357626e-01
-1.209310700000000072e+00,5.975241999999999498e-01,8.444614923398777728e-01
-1.207960099999999981e+00,7.200332999999999872e-01,8.435246817253533314e-01
-1.206957599999999964e+00,3.501968999999999776e-01,8.428293221510452238e-01
-1.200128899999999943e+00,2.343809999999999949e+00,8.380927616272761949e-01
-1.196179099999999940e+00,3.985435999999999979e-01,8.353530795857775360e-01
-1.195938799999999969e+00,2.860938000000000092e-01,8.351864013755968541e-01
-1.194191100000000061e+00,6.490664999999999907e-01,8.339741520708402467e-01
-1.192924000000000095e+00,5.387885000000000035e-01,8.330952591864454471e-01
-1.190516399999999919e+00,2.317470699999999884e+00,8.314252864072887439e-01
-1.190450000000000008e+00,4.091915999999999887e-01,8.313792296733895082e-01
-1.186837499999999990e+00,3.963051000000000212e-01,8.288735075165931665e-01
-1.183416199999999918e+00,2.651899999999999813e-01,8.265004065574105274e-01
-1.182170200000000060e+00,2.255012499999999864e+00,8.256361491712880252e-01
-1.182061800000000051e+00,2.849229999999999818e-01,8.255609601659462671e-01
-1.176201499999999900e+00,4.034746000000000166e-01,8.214961065865764578e-01
-1.176106700000000060e+00,1.284125999999999879e-01,8.214303508881780624e-01
-1.173244200000000070e+00,2.035348599999999841e+00,8.194448478642805123e-01
-1.172882100000000039e+00,3.801996000000000264e-01,8.191936860669171150e-01
-1.172843300000000033e+00,2.532472400000000068e+00,8.191667733971081944e-01
-1.171819900000000025e+00,3.063624999999999821e-01,8.184569170496299728e-01
-1.171686500000000075e+00,5.223854999999999471e-01,8.183643874065252843e-01
-1.171686500000000075e+00,6.698254000000000152e-01,8.183643874065252843e-01
-1.171129400000000098e+00,3.170638000000000067e-01,8.179779686346080325e-01
-1.171129400000000098e+00,2.143683000000000116e-01,8.179779686346080325e-01
-1.170689099999999927e+00,4.344570999999999850e-01,8.176725653223206880e-01
-1.168346099999999943e+00,3.541297999999999946e-01,8.160474007511444583e-01
-1.167615599999999976e+00,3.832317000000000085e-01,8.155407073157009412e-01
-1.167201099999999991e+00,4.658108000000000248e-01,8.152531995415855937e-01
-1.164809100000000042e+00,2.248561000000000032e-01,8.135940473203933099e-01
-1.159209099999999992e+00,2.443515399999999893e+00,8.097097444614148598e-01
-1.154647100000000037e+00,2.130078899999999997e+00,8.065454248823686889e-01
-1.153035000000000032e+00,2.390470200000000212e+00,8.054272311968402320e-01
-1.151876499999999970e+00,4.503806000000000198e-01,8.046236660428889298e-01
-1.151876499999999970e+00,6.295595000000000496e-01,8.046236660428889298e-01
-1.148719000000000046e+00,1.716528999999999971e-01,8.024335434933848044e-01
-1.148719000000000046e+00,5.760872000000000215e-01,8.024335434933848044e-01
-1.144090999999999969e+00,2.139753000000000072e-01,7.992234446306432094e-01
-1.143985299999999983e+00,4.010660999999999810e-01,7.991501284141800943e-01
-1.143430500000000016e+00,3.592308000000000168e-01,7.987653049809370076e-01
-1.142901200000000062e+00,3.019588999999999746e-01,7.983981689982125873e-01
-1.141175100000000109e+00,5.564765000000000406e-01,7.972009020044835692e-01
-1.139340299999999973e+00,3.575358000000000147e-01,7.959282379177595734e-01
-1.137715000000000032e+00,2.227244999999999919e-01,7.948008883754922316e-01
-1.131901499999999894e+00,4.044679999999999942e-01,7.907684964700152364e-01
-1.129893199999999931e+00,7.662537999999999849e-01,7.893754883572141612e-01
-1.128758399999999940e+00,4.127110999999999974e-01,7.885883621278625411e-01
-1.124221200000000032e+00,3.125453000000000259e-01,7.854412444614774502e-01
-1.122658399999999945e+00,3.032820999999999989e-01,7.843572465136182670e-01
-1.116061500000000040e+00,2.011970499999999884e+00,7.797814683831907345e-01
-1.112540400000000096e+00,9.414619999999999933e-02,7.773391435980568920e-01
-1.108677499999999982e+00,2.356979999999999908e-01,7.746597376134234381e-01
-1.107888399999999995e+00,7.471147000000000205e-01,7.741123977230626174e-01
-1.106182900000000080e+00,6.919264999999999999e-01,7.729294194148506048e-01
-1.104525100000000037e+00,7.628167000000000142e-01,7.717795270434909538e-01
-1.104285200000000078e+00,3.699193000000000064e-01,7.716131262835143056e-01
-1.103014699999999904e+00,2.094290000000000040e-01,7.707318750723833878e-01
-1.102302099999999951e+00,2.690900999999999987e-01,7.702375975335785663e-01
-1.098653399999999891e+00,3.448593999999999826e-01,7.677067661333010218e-01
-1.095842599999999889e+00,7.777037999999999451e-01,7.657571235482979466e-01
-1.093616300000000097e+00,4.847150000000000070e-01,7.642129050742011431e-01
-1.092304399999999953e+00,1.958765899999999949e+00,7.633029377669342530e-01
